--------------------------------------------------------------------------------
PLC global time-span stats (wraparound corrected):
--------------------------------------------------------------------------------
CSV filename                                       | Avg interval | Stable frequency
--------------------------------------------------------------------------------
10_1_timeSeriesStation60_2025-04-23_21-17-41.CSV   |     14.81 ms |     67.5 Hz
10_2_timeSeriesStation60_2025-04-28_09-44-47.CSV   |     15.92 ms |     62.8 Hz
10_3_timeSeriesStation60_2025-04-28_09-48-28.CSV   |     15.92 ms |     62.8 Hz
10_4_timeSeriesStation60_2025-04-28_09-50-39.CSV   |     15.96 ms |     62.7 Hz
11_1_timeSeriesStation60_2025-04-28_15-17-29.CSV   |     13.34 ms |     74.9 Hz
11_2_timeSeriesStation60_2025-04-28_10-36-40.CSV   |     13.63 ms |     73.4 Hz
11_3_timeSeriesStation60_2025-04-28_10-48-22.CSV   |     13.48 ms |     74.2 Hz
11_4_timeSeriesStation60_2025-04-28_15-56-24.CSV   |     14.71 ms |     68.0 Hz
12_1_timeSeriesStation60_2025-04-28_15-22-29.CSV   |     12.87 ms |     77.7 Hz
12_2_timeSeriesStation60_2025-04-28_15-26-24.CSV   |     12.95 ms |     77.2 Hz
12_3_timeSeriesStation60_2025-04-28_15-47-52.CSV   |     13.02 ms |     76.8 Hz
12_4_timeSeriesStation60_2025-04-28_15-42-58.CSV   |     14.34 ms |     69.8 Hz
13_1_timeSeriesStation60_2025-04-28_16-03-40.CSV   |     12.78 ms |     78.3 Hz
13_2_timeSeriesStation60_2025-04-28_16-07-53.CSV   |     12.68 ms |     78.8 Hz
13_3_timeSeriesStation60_2025-04-28_16-22-02.CSV   |     12.97 ms |     77.1 Hz
13_4_timeSeriesStation60_2025-04-28_16-28-28.CSV   |     13.09 ms |     76.4 Hz
14_1_timeSeriesStation60_2025-04-28_17-03-32.CSV   |     13.28 ms |     75.3 Hz
14_2_timeSeriesStation60_2025-04-28_16-58-27.CSV   |     13.29 ms |     75.2 Hz
14_3_timeSeriesStation60_2025-04-28_16-43-48.CSV   |     13.25 ms |     75.5 Hz
14_4_timeSeriesStation60_2025-04-28_16-51-41.CSV   |     13.23 ms |     75.6 Hz
1_1_timeSeriesStation60_2025-04-23_19-31-04.CSV    |     17.78 ms |     56.2 Hz
1_2_timeSeriesStation60_2025-04-28_09-47-00.CSV    |     15.93 ms |     62.8 Hz
1_timeSeriesStation60_2025-04-23_18-52-34.CSV      |     15.01 ms |     66.6 Hz
1_timeSeriesStation60_2025-04-23_18-57-04.CSV      |     15.18 ms |     65.9 Hz
1_timeSeriesStation60_2025-04-23_18-58-15.CSV      |     15.26 ms |     65.5 Hz
